Feature,MeanAbsSHAP
TotalArea,20787.094
OverallQual,7497.142
QualScore,5588.5205
TotalBath,4533.3535
HouseAge,3946.9102
HighQualFlrSF,2675.7673
GarageCars,2586.5554
GrLivArea,2583.28
YearBuilt,2560.229
BsmtFinSF1,2150.1096
Fireplaces,2065.4827
YearRemodAdd,1866.1835
LogGrLivArea,1722.0938
LotArea,1609.3502
BsmtQual_Ex,1596.2593
OverallGrade,1549.6947
TotalPorchSF,1369.2954
BsmtFinSF,1165.4913
RemodelAge,1155.5602
BsmtFinType1_GLQ,1058.2244
BsmtExposure_Gd,936.63605
MSZoning_RM,795.9631
SaleType_New,777.7622
Functional_Typ,750.1307
GarageYrBlt,725.4285
ExterQual_TA,690.8687
GarageType_Attchd,682.91296
Exterior1st_BrkFace,680.3948
BsmtUnfSF,672.02167
KitchenQual_Ex,659.8502
Neighborhood_Crawfor,643.64154
OpenPorchSF,641.91693
2ndFlrSF,641.6865
SaleCondition_Abnorml,597.6205
MSZoning_RL,595.1547
LogLotArea,550.28424
1stFlrSF,518.2604
BsmtUnfRatio,504.7174
KitchenQual_TA,481.501
TotalBsmtSF,413.884
OverallCond,412.11734
SaleCondition_Normal,380.367
ExterQual_Gd,367.47388
LotConfig_CulDSac,365.4324
LotFrontage,361.57385
KitchenAbvGr,356.45035
Condition1_Norm,344.5187
GarageSpacePerCar,336.50183
BsmtQual_TA,283.41434
BathToRoomRatio,272.8097
Neighborhood_StoneBr,264.90103
SqFtPerRoom,254.52127
HasFireplace,247.94135
LotShape_Reg,247.67763
GarageFinish_Unf,226.78445
MasVnrArea,211.04257
GarageArea,208.58405
FireplaceQu_None,196.78535
KitchenQual_Gd,190.34267
CentralAir_N,182.39186
Id,182.33374
TotRmsAbvGrd,178.94363
Foundation_PConc,174.8897
MoSold,172.96062
MSZoning_FV,160.77484
WoodDeckSF,157.44756
Condition1_Artery,156.71608
BsmtExposure_No,147.19438
FireplaceQu_Gd,138.12613
ScreenPorch,131.64575
Neighborhood_BrkSide,130.56366
MSSubClass,127.95592
GarageFinish_Fin,126.55921
HalfBath,123.85646
